Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,87251,-,-,-,34.41,-111.78,-7,972,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2020,1,1,0,0,0,0,-6.800000000000001,166.84,0.09,2.3000000000000003,63.050000000000004,-0.6000000000000001,896,N/A
2020,1,1,0,30,0,0,-6.800000000000001,168.63,0.09,2.2,63.52,-0.7000000000000001,896,N/A
2020,1,1,1,0,0,0,-6.7,166.92000000000002,0.09,2,64.11,-0.8,896,N/A
2020,1,1,1,30,0,0,-6.7,162.72,0.09,1.9000000000000001,64.11,-0.8,896,N/A
2020,1,1,2,0,0,0,-6.5,157.39000000000001,0.09,1.9000000000000001,65.58,-0.9,895,N/A
2020,1,1,2,30,0,0,-6.5,151.57,0.09,1.8,65.1,-0.8,895,N/A
2020,1,1,3,0,0,0,-6.2,145.52,0.09,1.7000000000000002,66.69,-0.8,895,N/A
2020,1,1,3,30,0,0,-6.2,139.38,0.09,1.6,66.69,-0.8,895,N/A
2020,1,1,4,0,0,0,-5.9,133.2,0.09,1.5,68.29,-0.8,895,N/A
2020,1,1,4,30,0,0,-5.9,127.02,0.09,1.4000000000000001,67.8,-0.7000000000000001,895,N/A
2020,1,1,5,0,0,0,-5.7,120.87,0.09,1.4000000000000001,68.56,-0.6000000000000001,895,N/A
2020,1,1,5,30,0,0,-5.7,114.78,0.09,1.3,67.08,-0.30000000000000004,895,N/A
2020,1,1,6,0,0,0,-5.5,108.77,0.09,1.3,67.07000000000001,-0.1,895,N/A
2020,1,1,6,30,0,0,-5.5,102.86,0.09,1.3,64.68,0.4,895,N/A
2020,1,1,7,0,0,0,-5.300000000000001,97.09,0.09,1.3,63.77,0.8,895,N/A
2020,1,1,7,30,4,34,-5.300000000000001,91.49,0.09,1.1,57.69,2.2,895,N/A
2020,1,1,8,0,25,394,-2,85.92,0.09,1,66.3,3.7,896,N/A
2020,1,1,8,30,37,614,-2,80.86,0.09,1.2000000000000002,58.81,5.4,895,N/A
2020,1,1,9,0,47,718,-3.1,76.05,0.09,1.4000000000000001,48.34,7.1000000000000005,895,N/A
2020,1,1,9,30,111,345,-3.1,71.60000000000001,0.09,1.2000000000000002,44.25,8.4,895,N/A
2020,1,1,10,0,161,85,-2.5,67.6,0.09,1.1,42.730000000000004,9.600000000000001,895,N/A
2020,1,1,10,30,188,86,-2.5,64.12,0.09,1.4000000000000001,40.51,10.4,895,N/A
2020,1,1,11,0,212,236,-2.3000000000000003,61.28,0.09,1.8,38.75,11.200000000000001,894,N/A
2020,1,1,11,30,227,225,-2.3000000000000003,59.15,0.09,1.9000000000000001,37.5,11.700000000000001,894,N/A
2020,1,1,12,0,213,407,-2.5,57.83,0.09,2,35.59,12.3,893,N/A
2020,1,1,12,30,155,630,-2.5,57.370000000000005,0.09,2,34.86,12.600000000000001,892,N/A
2020,1,1,13,0,76,900,-2.7,57.79,0.09,2,33.63,12.9,891,N/A
2020,1,1,13,30,189,451,-2.7,59.07,0.09,2.5,33.63,12.9,891,N/A
2020,1,1,14,0,203,93,-2.6,61.160000000000004,0.09,2.9000000000000004,33.95,12.9,890,N/A
2020,1,1,14,30,161,26,-2.6,63.980000000000004,0.09,2.8000000000000003,35.27,12.3,889,N/A
2020,1,1,15,0,108,13,-2.1,67.42,0.09,2.7,38.24,11.700000000000001,889,N/A
2020,1,1,15,30,69,9,-2.1,71.41,0.09,1.9000000000000001,41.95,10.3,889,N/A
2020,1,1,16,0,72,17,1.2000000000000002,75.84,0.09,1.1,58.44,8.9,890,N/A
2020,1,1,16,30,52,225,1.2000000000000002,80.64,0.09,1.1,58.44,8.9,890,N/A
2020,1,1,17,0,26,358,0.4,85.69,0.09,1.1,68.4,5.800000000000001,891,N/A
2020,1,1,17,30,4,29,0.4,91.24,0.09,1,68.32000000000001,5.800000000000001,890,N/A
2020,1,1,18,0,0,0,-0.6000000000000001,96.83,0.09,0.9,63.77,5.7,890,N/A
2020,1,1,18,30,0,0,-0.6000000000000001,102.60000000000001,0.09,0.7000000000000001,63.77,5.7,890,N/A
2020,1,1,19,0,0,0,-1.7000000000000002,108.49000000000001,0.09,0.5,59.13,5.7,890,N/A
2020,1,1,19,30,0,0,-1.7000000000000002,114.5,0.09,0.5,60.300000000000004,5.4,889,N/A
2020,1,1,20,0,0,0,-2,120.59,0.09,0.4,60.53,5,889,N/A
2020,1,1,20,30,0,0,-2,126.73,0.09,0.4,62.68,4.5,889,N/A
2020,1,1,21,0,0,0,-2.2,132.91,0.09,0.4,63.57,4.1000000000000005,889,N/A
2020,1,1,21,30,0,0,-2.2,139.09,0.09,0.5,65.38,3.7,889,N/A
2020,1,1,22,0,0,0,-2.4000000000000004,145.24,0.09,0.5,65.64,3.4000000000000004,889,N/A
2020,1,1,22,30,0,0,-2.4000000000000004,151.28,0.09,0.7000000000000001,68.97,2.7,889,N/A
2020,1,1,23,0,0,0,-2.6,157.11,0.09,0.9,70.98,2.1,889,N/A
2020,1,1,23,30,0,0,-2.6,162.46,0.09,1,72.96000000000001,1.7000000000000002,888,N/A
2020,1,2,0,0,0,0,-2.7,166.71,0.09,1.1,75.19,1.2000000000000002,888,N/A
2020,1,2,0,30,0,0,-2.7,168.55,0.09,1.2000000000000002,78.5,0.6000000000000001,888,N/A
2020,1,2,1,0,0,0,-2.8000000000000003,166.9,0.09,1.2000000000000002,81.9,-0.1,888,N/A
2020,1,2,1,30,0,0,-2.8000000000000003,162.74,0.09,1.2000000000000002,82.49,-0.2,888,N/A
2020,1,2,2,0,0,0,-2.8000000000000003,157.43,0.09,1.2000000000000002,83.24,-0.30000000000000004,888,N/A
2020,1,2,2,30,0,0,-2.8000000000000003,151.62,0.09,1.2000000000000002,83.85000000000001,-0.4,888,N/A
2020,1,2,3,0,0,0,-2.8000000000000003,145.58,0.09,1.2000000000000002,84.54,-0.5,888,N/A
2020,1,2,3,30,0,0,-2.8000000000000003,139.44,0.09,1.2000000000000002,85.78,-0.7000000000000001,888,N/A
2020,1,2,4,0,0,0,-2.9000000000000004,133.26,0.09,1.2000000000000002,85.98,-0.8,887,N/A
2020,1,2,4,30,0,0,-2.9000000000000004,127.07000000000001,0.09,1.3,86.61,-0.9,887,N/A
2020,1,2,5,0,0,0,-2.9000000000000004,120.92,0.09,1.3,87.27,-1.1,888,N/A
2020,1,2,5,30,0,0,-2.9000000000000004,114.83,0.09,1.3,87.91,-1.2000000000000002,888,N/A
2020,1,2,6,0,0,0,-3.1,108.82000000000001,0.09,1.4000000000000001,87.81,-1.3,888,N/A
2020,1,2,6,30,0,0,-3.1,102.91,0.09,1.4000000000000001,87.81,-1.3,888,N/A
2020,1,2,7,0,0,0,-3.2,97.14,0.09,1.4000000000000001,86.53,-1.2000000000000002,889,N/A
2020,1,2,7,30,4,44,-3.2,91.53,0.09,1.9000000000000001,77.59,0.30000000000000004,889,N/A
2020,1,2,8,0,22,464,-2.2,85.95,0.09,2.4000000000000004,74.58,1.8,890,N/A
2020,1,2,8,30,33,675,-2.2,80.88,0.09,3.1,67.05,3.3000000000000003,890,N/A
2020,1,2,9,0,40,797,-1.9000000000000001,76.06,0.09,3.7,62.15,4.7,890,N/A
2020,1,2,9,30,44,871,-1.9000000000000001,71.60000000000001,0.09,4.2,56.47,6.1000000000000005,891,N/A
2020,1,2,10,0,47,921,-3,67.58,0.09,4.7,47.39,7.5,891,N/A
2020,1,2,10,30,53,948,-3,64.1,0.09,4.800000000000001,44.89,8.3,891,N/A
2020,1,2,11,0,59,963,-4.4,61.24,0.09,4.800000000000001,38.08,9.200000000000001,891,N/A
2020,1,2,11,30,59,981,-4.4,59.1,0.09,4.5,36.58,9.8,891,N/A
2020,1,2,12,0,59,992,-5.6000000000000005,57.76,0.09,4.3,31.94,10.4,891,N/A
2020,1,2,12,30,57,997,-5.6000000000000005,57.29,0.09,4.2,31.310000000000002,10.700000000000001,891,N/A
2020,1,2,13,0,57,996,-6.7,57.69,0.09,4.1000000000000005,28.25,11,890,N/A
2020,1,2,13,30,58,983,-6.7,58.96,0.09,4,28.060000000000002,11.100000000000001,890,N/A
2020,1,2,14,0,60,960,-7.2,61.04,0.09,3.8000000000000003,26.78,11.200000000000001,890,N/A
2020,1,2,14,30,56,936,-7.2,63.85,0.09,3.6,26.98,11.100000000000001,891,N/A
2020,1,2,15,0,53,903,-7.1000000000000005,67.29,0.09,3.3000000000000003,27.560000000000002,10.9,891,N/A
2020,1,2,15,30,48,856,-7.1000000000000005,71.27,0.09,2.3000000000000003,30.05,9.600000000000001,891,N/A
2020,1,2,16,0,43,785,-2.6,75.7,0.09,1.4000000000000001,46.17,8.3,892,N/A
2020,1,2,16,30,36,669,-2.6,80.5,0.09,1.4000000000000001,46.17,8.3,892,N/A
2020,1,2,17,0,25,467,-3.9000000000000004,85.55,0.09,1.3,55.84,4.1000000000000005,893,N/A
2020,1,2,17,30,8,81,-3.9000000000000004,91.10000000000001,0.09,1.3,59.07,3.3000000000000003,893,N/A
2020,1,2,18,0,0,0,-4.7,96.69,0.09,1.3,58.92,2.5,894,N/A
2020,1,2,18,30,0,0,-4.7,102.46000000000001,0.09,1.3,61.050000000000004,2,894,N/A
2020,1,2,19,0,0,0,-5.1000000000000005,108.36,0.09,1.3,61.7,1.5,894,N/A
2020,1,2,19,30,0,0,-5,114.36,0.09,1.3,64.03,1,895,N/A
2020,1,2,20,0,0,0,-5.300000000000001,120.45,0.09,1.3,64.92,0.5,895,N/A
2020,1,2,20,30,0,0,-5.300000000000001,126.59,0.09,1.3,66.82000000000001,0.1,895,N/A
2020,1,2,21,0,0,0,-5.6000000000000005,132.77,0.09,1.3,67.2,-0.2,896,N/A
2020,1,2,21,30,0,0,-5.6000000000000005,138.95000000000002,0.09,1.4000000000000001,68.19,-0.4,896,N/A
2020,1,2,22,0,0,0,-5.800000000000001,145.1,0.09,1.4000000000000001,67.95,-0.6000000000000001,896,N/A
2020,1,2,22,30,0,0,-5.800000000000001,151.14000000000001,0.09,1.4000000000000001,68.45,-0.7000000000000001,896,N/A
2020,1,2,23,0,0,0,-5.9,156.97,0.09,1.4000000000000001,67.96000000000001,-0.7000000000000001,897,N/A
2020,1,2,23,30,0,0,-5.9,162.32,0.09,1.4000000000000001,68.46000000000001,-0.8,897,N/A
2020,1,3,0,0,0,0,-5.9,166.58,0.09,1.5,68.34,-0.8,897,N/A
2020,1,3,0,30,0,0,-5.9,168.46,0.09,1.5,68.34,-0.8,897,N/A
2020,1,3,1,0,0,0,-5.800000000000001,166.87,0.09,1.5,68.77,-0.8,898,N/A
2020,1,3,1,30,0,0,-5.800000000000001,162.75,0.09,1.5,68.77,-0.8,898,N/A
2020,1,3,2,0,0,0,-5.800000000000001,157.46,0.09,1.5,69.12,-0.8,898,N/A
2020,1,3,2,30,0,0,-5.800000000000001,151.66,0.09,1.4000000000000001,69.63,-0.9,898,N/A
2020,1,3,3,0,0,0,-5.800000000000001,145.63,0.09,1.4000000000000001,69.64,-0.9,898,N/A
2020,1,3,3,30,0,0,-5.800000000000001,139.49,0.09,1.4000000000000001,70.15,-1,898,N/A
2020,1,3,4,0,0,0,-5.9,133.31,0.09,1.4000000000000001,70.10000000000001,-1.1,899,N/A
2020,1,3,4,30,0,0,-5.9,127.13000000000001,0.09,1.4000000000000001,70.10000000000001,-1.1,899,N/A
2020,1,3,5,0,0,0,-6,120.98,0.09,1.4000000000000001,69.82000000000001,-1.2000000000000002,899,N/A
2020,1,3,5,30,0,0,-6,114.88,0.09,1.4000000000000001,69.82000000000001,-1.2000000000000002,899,N/A
2020,1,3,6,0,0,0,-6.1000000000000005,108.86,0.09,1.5,69.32000000000001,-1.2000000000000002,900,N/A
2020,1,3,6,30,0,0,-6.1000000000000005,102.95,0.09,1.5,69.32000000000001,-1.2000000000000002,900,N/A
2020,1,3,7,0,0,0,-6.1000000000000005,97.17,0.09,1.5,68.73,-1.1,900,N/A
2020,1,3,7,30,1,0,-6.1000000000000005,91.56,0.09,2.1,61.7,0.4,901,N/A
2020,1,3,8,0,26,83,-5.7,85.97,0.09,2.7,56.9,2,901,N/A
2020,1,3,8,30,51,343,-5.6000000000000005,80.89,0.09,3.2,50.86,3.6,902,N/A
2020,1,3,9,0,78,323,-5.6000000000000005,76.07000000000001,0.09,3.7,45.46,5.2,902,N/A
2020,1,3,9,30,79,618,-5.6000000000000005,71.59,0.09,3.9000000000000004,40.43,6.9,902,N/A
2020,1,3,10,0,104,597,-4.9,67.56,0.09,4.1000000000000005,37.980000000000004,8.6,902,N/A
2020,1,3,10,30,54,925,-4.9,64.06,0.09,3.9000000000000004,34.800000000000004,9.9,902,N/A
2020,1,3,11,0,57,944,-4.2,61.19,0.09,3.6,33.81,11.200000000000001,902,N/A
2020,1,3,11,30,57,961,-4.2,59.03,0.09,3.3000000000000003,31.86,12.100000000000001,902,N/A
2020,1,3,12,0,56,971,-3.7,57.68,0.09,3,30.89,13.100000000000001,902,N/A
2020,1,3,12,30,64,947,-3.7,57.19,0.09,2.8000000000000003,29.71,13.700000000000001,902,N/A
2020,1,3,13,0,96,830,-3.4000000000000004,57.59,0.09,2.6,28.96,14.4,902,N/A
2020,1,3,13,30,67,922,-3.4000000000000004,58.85,0.09,2.4000000000000004,28.59,14.600000000000001,902,N/A
2020,1,3,14,0,62,931,-3.2,60.92,0.09,2.2,28.62,14.9,902,N/A
2020,1,3,14,30,59,908,-3.2,63.72,0.09,2.1,28.990000000000002,14.700000000000001,902,N/A
2020,1,3,15,0,56,874,-2.5,67.15,0.09,1.9000000000000001,30.96,14.5,902,N/A
2020,1,3,15,30,51,825,-2.5,71.13,0.09,1.4000000000000001,34.12,13,902,N/A
2020,1,3,16,0,46,751,2.1,75.56,0.09,0.9,52.14,11.600000000000001,903,N/A
2020,1,3,16,30,38,634,2.1,80.36,0.09,0.9,52.14,11.600000000000001,903,N/A
2020,1,3,17,0,26,430,-0.9,85.41,0.1,1.2000000000000002,54.300000000000004,7.800000000000001,903,N/A
2020,1,3,17,30,7,72,-0.9,90.96000000000001,0.1,1.2000000000000002,58.53,6.7,903,N/A
2020,1,3,18,0,0,0,-1.3,96.55,0.1,1.3,61.54,5.5,904,N/A
2020,1,3,18,30,0,0,-1.3,102.32000000000001,0.1,1.3,64.61,4.800000000000001,904,N/A
2020,1,3,19,0,0,0,-1.7000000000000002,108.22,0.1,1.3,66.38,4,904,N/A
2020,1,3,19,30,0,0,-1.7000000000000002,114.22,0.1,1.3,69.24,3.4000000000000004,904,N/A
2020,1,3,20,0,0,0,-2.2,120.31,0.1,1.4000000000000001,69.73,2.8000000000000003,904,N/A
2020,1,3,20,30,0,0,-2.2,126.46000000000001,0.1,1.4000000000000001,71.3,2.5,905,N/A
2020,1,3,21,0,0,0,-2.7,132.63,0.1,1.5,69.93,2.2,905,N/A
2020,1,3,21,30,0,0,-2.7,138.82,0.1,1.6,70.43,2.1,905,N/A
2020,1,3,22,0,0,0,-3.2,144.96,0.1,1.7000000000000002,68.05,2.1,905,N/A
2020,1,3,22,30,0,0,-3.2,151,0.1,1.7000000000000002,67.57000000000001,2.2,905,N/A
2020,1,3,23,0,0,0,-3.4000000000000004,156.82,0.1,1.8,65.88,2.3000000000000003,904,N/A
2020,1,3,23,30,0,0,-3.4000000000000004,162.17000000000002,0.1,1.8,65.88,2.3000000000000003,904,N/A
2020,1,4,0,0,0,0,-3.6,166.45000000000002,0.1,1.8,65.12,2.3000000000000003,904,N/A
2020,1,4,0,30,0,0,-3.6,168.36,0.1,1.8,65.12,2.3000000000000003,904,N/A
2020,1,4,1,0,0,0,-3.7,166.83,0.1,1.9000000000000001,64.92,2.2,904,N/A
2020,1,4,1,30,0,0,-3.7,162.75,0.1,1.9000000000000001,65.39,2.1,904,N/A
2020,1,4,2,0,0,0,-3.9000000000000004,157.49,0.1,1.9000000000000001,65.6,1.9000000000000001,903,N/A
2020,1,4,2,30,0,0,-3.9000000000000004,151.70000000000002,0.1,1.9000000000000001,66.07000000000001,1.8,903,N/A
2020,1,4,3,0,0,0,-4,145.68,0.1,1.9000000000000001,66.36,1.6,903,N/A
2020,1,4,3,30,0,0,-4,139.54,0.1,1.9000000000000001,66.84,1.5,903,N/A
2020,1,4,4,0,0,0,-4.1000000000000005,133.36,0.1,2,66.66,1.4000000000000001,903,N/A
2020,1,4,4,30,0,0,-4.1000000000000005,127.18,0.1,2,67.14,1.3,903,N/A
2020,1,4,5,0,0,0,-4.3,121.03,0.1,2,66.24,1.3,903,N/A
2020,1,4,5,30,0,0,-4.3,114.93,0.1,1.9000000000000001,66.79,1.2000000000000002,904,N/A
2020,1,4,6,0,0,0,-4.5,108.9,0.1,1.9000000000000001,65.72,1.2000000000000002,904,N/A
2020,1,4,6,30,0,0,-4.5,102.99000000000001,0.1,1.8,65.72,1.2000000000000002,904,N/A
2020,1,4,7,0,0,0,-4.7,97.2,0.1,1.7000000000000002,64.25,1.3,904,N/A
2020,1,4,7,30,1,0,-4.7,91.58,0.1,1.6,56.19,3.2,905,N/A
2020,1,4,8,0,27,162,-2.6,85.98,0.1,1.5,57.65,5.1000000000000005,905,N/A
2020,1,4,8,30,38,602,-2.6,80.9,0.1,1.9000000000000001,48.550000000000004,7.6000000000000005,905,N/A
2020,1,4,9,0,44,766,-3.6,76.06,0.1,2.3000000000000003,38.15,10,905,N/A
2020,1,4,9,30,99,460,-3.6,71.58,0.1,2,34.35,11.600000000000001,906,N/A
2020,1,4,10,0,131,442,-4.1000000000000005,67.54,0.1,1.7000000000000002,29.72,13.200000000000001,906,N/A
2020,1,4,10,30,86,798,-4.2,64.02,0.1,1.5,27.830000000000002,14.200000000000001,905,N/A
2020,1,4,11,0,63,949,-4.2,61.13,0.1,1.4000000000000001,26,15.200000000000001,905,N/A
2020,1,4,11,30,65,968,-4.2,58.96,0.1,1.3,24.68,16,904,N/A
2020,1,4,12,0,65,982,-4,57.6,0.1,1.2000000000000002,23.75,16.8,904,N/A
2020,1,4,12,30,64,986,-4.1000000000000005,57.09,0.1,1.3,22.84,17.400000000000002,903,N/A
2020,1,4,13,0,64,984,-4,57.47,0.1,1.4000000000000001,22.150000000000002,18,903,N/A
2020,1,4,13,30,64,972,-4,58.72,0.1,1.5,22.01,18.1,903,N/A
2020,1,4,14,0,66,951,-3.5,60.78,0.1,1.6,22.650000000000002,18.2,903,N/A
2020,1,4,14,30,63,928,-3.5,63.58,0.1,1.6,23.080000000000002,17.900000000000002,903,N/A
2020,1,4,15,0,60,894,-2.3000000000000003,67.01,0.1,1.6,25.8,17.5,903,N/A
2020,1,4,15,30,54,846,-2.3000000000000003,70.99,0.1,1.2000000000000002,28.36,16,903,N/A
2020,1,4,16,0,48,773,4,75.42,0.1,0.8,49.67,14.4,903,N/A
2020,1,4,16,30,39,656,4,80.21000000000001,0.1,0.8,49.67,14.4,903,N/A
2020,1,4,17,0,27,450,-0.2,85.27,0.1,0.9,44.07,11.600000000000001,903,N/A
2020,1,4,17,30,6,76,-0.2,90.27,0.1,0.8,44.07,11.600000000000001,903,N/A
2020,1,4,18,0,0,0,-1.5,96.41,0.1,0.6000000000000001,40.02,11.600000000000001,903,N/A
2020,1,4,18,30,0,0,-1.5,102.17,0.1,0.4,40.82,11.3,903,N/A
2020,1,4,19,0,0,0,-1.9000000000000001,108.07000000000001,0.1,0.2,40.79,10.9,903,N/A
2020,1,4,19,30,0,0,-1.9000000000000001,114.08,0.1,0.6000000000000001,43.02,10.100000000000001,903,N/A
2020,1,4,20,0,0,0,-1.8,120.17,0.1,0.9,45.81,9.3,904,N/A
2020,1,4,20,30,0,0,-1.8,126.32000000000001,0.1,1,48.34,8.5,904,N/A
2020,1,4,21,0,0,0,-1.8,132.49,0.1,1.2000000000000002,50.550000000000004,7.800000000000001,904,N/A
2020,1,4,21,30,0,0,-1.8,138.67000000000002,0.1,1.3,52.300000000000004,7.300000000000001,904,N/A
2020,1,4,22,0,0,0,-2.2,144.82,0.1,1.4000000000000001,52.5,6.9,904,N/A
2020,1,4,22,30,0,0,-2.2,150.86,0.1,1.4000000000000001,53.59,6.6000000000000005,904,N/A
2020,1,4,23,0,0,0,-2.5,156.68,0.1,1.5,53.58,6.2,904,N/A
2020,1,4,23,30,0,0,-2.5,162.03,0.1,1.5,54.26,6,903,N/A
2020,1,5,0,0,0,0,-3,166.3,0.1,1.5,53.44,5.7,903,N/A
2020,1,5,0,30,0,0,-3,168.25,0.1,1.5,53.82,5.6000000000000005,903,N/A
2020,1,5,1,0,0,0,-3.7,166.78,0.1,1.6,52.06,5.4,903,N/A
2020,1,5,1,30,0,0,-3.7,162.75,0.1,1.6,52.730000000000004,5.2,902,N/A
2020,1,5,2,0,0,0,-4.4,157.51,0.1,1.6,50.29,5.1000000000000005,902,N/A
2020,1,5,2,30,0,0,-4.4,151.74,0.1,1.6,50.99,4.9,902,N/A
2020,1,5,3,0,0,0,-5.2,145.72,0.1,1.7000000000000002,48.52,4.800000000000001,902,N/A
2020,1,5,3,30,0,0,-5.2,139.59,0.1,1.7000000000000002,48.52,4.800000000000001,902,N/A
2020,1,5,4,0,0,0,-5.9,133.41,0.1,1.6,45.89,4.800000000000001,902,N/A
2020,1,5,4,30,0,0,-5.9,127.22,0.1,1.6,45.89,4.800000000000001,902,N/A
2020,1,5,5,0,0,0,-6.6000000000000005,121.07000000000001,0.1,1.6,43.29,4.9,902,N/A
2020,1,5,5,30,0,0,-6.6000000000000005,114.97,0.1,1.6,42.99,5,902,N/A
2020,1,5,6,0,0,0,-7.1000000000000005,108.94,0.1,1.6,40.63,5.2,902,N/A
2020,1,5,6,30,0,0,-7.1000000000000005,103.02,0.1,1.5,40.35,5.300000000000001,902,N/A
2020,1,5,7,0,0,0,-7.4,97.23,0.1,1.5,38.94,5.5,903,N/A
2020,1,5,7,30,4,41,-7.4,91.60000000000001,0.1,1.4000000000000001,36.34,6.5,903,N/A
2020,1,5,8,0,25,407,-3,86,0.1,1.2000000000000002,47.28,7.5,903,N/A
2020,1,5,8,30,40,568,-3,80.9,0.1,1.3,41.03,9.600000000000001,903,N/A
2020,1,5,9,0,56,622,-2.1,76.06,0.1,1.4000000000000001,38.04,11.8,903,N/A
2020,1,5,9,30,69,710,-2.1,71.56,0.1,1.4000000000000001,34.71,13.200000000000001,903,N/A
2020,1,5,10,0,62,855,-5.9,67.5,0.1,1.5,23.68,14.700000000000001,903,N/A
2020,1,5,10,30,59,937,-5.9,63.97,0.1,1.7000000000000002,22.07,15.8,903,N/A
2020,1,5,11,0,63,953,-6.5,61.07,0.1,1.9000000000000001,19.52,17,903,N/A
2020,1,5,11,30,65,963,-6.5,58.88,0.1,2.1,18.77,17.6,902,N/A
2020,1,5,12,0,67,969,-6.5,57.5,0.1,2.3000000000000003,18.05,18.2,902,N/A
2020,1,5,12,30,67,973,-6.5,56.980000000000004,0.1,2.3000000000000003,17.81,18.400000000000002,901,N/A
2020,1,5,13,0,67,970,-5.9,57.35,0.1,2.4000000000000004,18.45,18.6,901,N/A
2020,1,5,13,30,66,961,-5.9,58.59,0.1,2.3000000000000003,18.45,18.6,901,N/A
2020,1,5,14,0,65,946,-5,60.64,0.1,2.3000000000000003,19.8,18.5,900,N/A
2020,1,5,14,30,62,924,-5,63.43,0.1,2.1,20.3,18.1,900,N/A
2020,1,5,15,0,58,892,-3.5,66.86,0.1,1.9000000000000001,23.43,17.6,900,N/A
2020,1,5,15,30,54,844,-3.6,70.84,0.1,1.4000000000000001,25.92,16,900,N/A
2020,1,5,16,0,47,773,3.5,75.27,0.1,0.8,47.86,14.4,900,N/A
2020,1,5,16,30,40,657,3.5,80.06,0.1,0.8,47.86,14.4,900,N/A
2020,1,5,17,0,27,459,-0.5,85.12,0.1,1,43.77,11.4,900,N/A
2020,1,5,17,30,7,81,-0.5,90.14,0.1,1,45.85,10.700000000000001,900,N/A
2020,1,5,18,0,0,0,-1.3,96.26,0.1,1.1,45.34,10,901,N/A
2020,1,5,18,30,0,0,-1.3,102.02,0.1,1.2000000000000002,48.81,8.9,901,N/A
2020,1,5,19,0,0,0,-1.3,107.93,0.1,1.3,52.28,7.9,901,N/A
2020,1,5,19,30,0,0,-1.3,113.94,0.1,1.4000000000000001,56.35,6.800000000000001,901,N/A
2020,1,5,20,0,0,0,-1.6,120.03,0.1,1.4000000000000001,59.06,5.800000000000001,901,N/A
2020,1,5,20,30,0,0,-1.6,126.17,0.1,1.5,62.43,5,901,N/A
2020,1,5,21,0,0,0,-2.4000000000000004,132.35,0.1,1.6,61.690000000000005,4.3,902,N/A
2020,1,5,21,30,0,0,-2.4000000000000004,138.53,0.1,1.8,63.89,3.8000000000000003,902,N/A
2020,1,5,22,0,0,0,-3.1,144.67000000000002,0.1,1.9000000000000001,62.96,3.3000000000000003,902,N/A
2020,1,5,22,30,0,0,-3.1,150.71,0.1,2,64.76,2.9000000000000004,902,N/A
2020,1,5,23,0,0,0,-3.6,156.53,0.1,2.1,64.05,2.5,902,N/A
2020,1,5,23,30,0,0,-3.6,161.87,0.1,2.3000000000000003,65.43,2.2,902,N/A
2020,1,6,0,0,0,0,-4,166.15,0.1,2.5,64.24,2,902,N/A
2020,1,6,0,30,0,0,-4,168.13,0.1,2.7,64.7,1.9000000000000001,902,N/A
2020,1,6,1,0,0,0,-4.4,166.72,0.1,2.8000000000000003,63.910000000000004,1.7000000000000002,902,N/A
2020,1,6,1,30,0,0,-4.4,162.74,0.1,2.8000000000000003,64.37,1.6,902,N/A
2020,1,6,2,0,0,0,-4.6000000000000005,157.53,0.1,2.7,63.910000000000004,1.5,902,N/A
2020,1,6,2,30,0,0,-4.6000000000000005,151.77,0.1,2.7,63.46,1.6,902,N/A
2020,1,6,3,0,0,0,-4.6000000000000005,145.76,0.1,2.8000000000000003,62.83,1.7000000000000002,903,N/A
2020,1,6,3,30,0,0,-4.6000000000000005,139.63,0.1,2.7,63.28,1.6,903,N/A
2020,1,6,4,0,0,0,-4.5,133.45,0.1,2.6,64.16,1.5,903,N/A
2020,1,6,4,30,0,0,-4.5,127.26,0.1,2.6,65.08,1.3,903,N/A
2020,1,6,5,0,0,0,-4.5,121.11,0.1,2.5,66.26,1.1,903,N/A
2020,1,6,5,30,0,0,-4.5,115,0.1,2.4000000000000004,67.22,0.9,903,N/A
2020,1,6,6,0,0,0,-4.6000000000000005,108.97,0.1,2.4000000000000004,67.91,0.6000000000000001,904,N/A
2020,1,6,6,30,0,0,-4.6000000000000005,103.04,0.1,2.3000000000000003,68.89,0.4,904,N/A
2020,1,6,7,0,0,0,-5,97.25,0.1,2.3000000000000003,67.42,0.30000000000000004,904,N/A
